,id,leader_string,DTW string,time,string_number
0,50,48.0,0.08030777334128802,13.7,
1,202,55.0,1.5758524340359166,101.5,
2,202,55.0,0.9836623511591144,106.5,
3,1127,1115.0,0.7248157456854832,123.7,
4,1127,1115.0,0.7089599484457698,128.7,
5,111,202.0,0.3082621896835737,131.5,1.0
6,1127,1115.0,0.6836939042170923,133.7,
7,202,55.0,1.0268210213266178,136.5,
8,111,55.0,1.279466049954567,136.5,
9,111,202.0,0.6922011850469867,141.5,
10,202,55.0,1.200469356799786,146.5,
11,202,55.0,1.0202772320635252,151.5,
12,202,55.0,0.9392107999641023,156.5,
13,202,55.0,0.23428553639805844,171.5,
14,964,50.0,0.21846788261528083,172.7,
15,54,50.0,0.2523661464660129,14.0,
16,54,50.0,0.39008818222733166,19.0,
17,54,50.0,1.1118138375420612,24.0,
18,240,84.0,0.5464782399956278,26.2,
19,54,50.0,0.743100855652428,29.0,
20,240,84.0,0.5026904927132615,31.2,
21,54,50.0,0.4168071953837799,34.0,
22,54,50.0,0.40561872275763117,39.0,
23,54,50.0,0.40798759886346264,44.0,
24,54,50.0,0.37841518609430047,49.0,
25,54,50.0,0.2848363687232179,54.0,
26,54,50.0,0.12145692099038102,59.0,
27,136,202.0,2.342618398843896,64.3,
28,136,202.0,3.4958806825964905,69.3,
29,136,202.0,3.9983184067924067,74.3,
30,136,202.0,5.1527681088885595,79.3,
31,136,202.0,3.8578428118928016,84.3,
32,54,50.0,0.300528906987016,104.0,
33,54,50.0,0.2991740543080169,109.0,
34,136,964.0,0.7741536430881111,110.4,
35,54,50.0,0.24449731251619267,114.0,
36,964,50.0,1.0978342749398438,114.0,
37,136,50.0,1.552403434953346,114.0,
38,54,50.0,0.1946060379814358,119.0,
39,964,50.0,0.8215975883817387,119.0,
40,136,50.0,0.7335461181094702,119.0,
41,54,50.0,0.11062215587230088,124.0,
42,964,50.0,0.8027221012770692,124.0,
43,136,50.0,0.7601375708874797,124.0,
44,54,50.0,0.1099795575496182,129.0,
45,964,50.0,0.7227156740848869,129.0,
46,136,50.0,0.7356987837700468,129.0,
47,54,50.0,0.1418858493527116,134.0,
48,54,50.0,0.13910460551508816,139.0,
49,54,50.0,0.1893563621787177,144.0,
50,54,50.0,0.7690860924048546,149.0,
51,54,50.0,0.7686589848296166,154.0,
52,54,50.0,0.7676601417016433,159.0,
53,54,50.0,0.760973304278959,164.0,
54,42,1115.0,3.9241639206833487,166.2,
55,279,228.0,0.8855387838461386,68.7,
56,1113,1064.0,0.6310718573951978,144.3,
57,49,56.0,0.7607852916271209,15.0,2.0
58,49,56.0,1.3285227833286228,20.0,
59,49,56.0,0.908660782160769,25.0,
60,49,56.0,0.8768912348384887,30.0,
61,49,56.0,0.9818791960160047,35.0,
62,254,168.0,0.6694346101467402,80.6,
63,254,168.0,0.7476323165964552,85.6,3.0
64,254,168.0,2.132612677902455,90.6,
65,254,168.0,1.7393895079660675,95.6,
66,1239,1137.0,1.3740656914490565,126.0,
67,1239,1137.0,1.1434713338460294,151.0,
68,1137,1103.0,0.41863746835364146,155.7,
69,1239,1103.0,0.12228884714103856,155.7,
70,1137,1103.0,0.41723024200852155,160.7,
71,1239,1103.0,0.2560463578339977,160.7,
72,1239,1137.0,0.33836990419456775,166.0,
73,1239,1137.0,0.510476286410906,171.0,
74,1137,1103.0,0.35543643710358364,175.7,
