,id,leader_string,DTW string,time,string_number
0,67,42.0,1.5086125295121862,5.0,
1,14,42.0,2.9505211477597095,5.0,1.0
2,25,16.0,0.9983985924468174,5.0,1.0
3,30,16.0,1.8569335532614468,5.0,
4,67,42.0,0.4083599380229007,10.0,2.0
5,14,42.0,1.947724312383846,10.0,2.0
6,25,16.0,0.8616728648280367,10.0,
7,30,16.0,1.9083642931459717,10.0,
8,67,42.0,1.2151578782691044,15.0,
9,25,16.0,0.8613007730487832,15.0,3.0
10,25,16.0,0.8701973367623829,20.0,3.0
11,67,42.0,0.74675454567617,30.0,
12,1640,1161.0,2.160358674159451,80.7,4.0
13,2047,1852.0,1.5073221427307693,149.3,4.0
14,2047,1852.0,1.4691871721809697,154.3,
15,2494,1852.0,1.62638580819269,154.3,
16,2,0.0,0.9001141796795485,5.0,
17,9,0.0,1.3191165910401843,5.0,
18,8,5.0,0.6254604358212533,5.0,5.0
19,21,23.0,1.8110900918798396,5.0,
20,132,28.0,1.5890513913954154,5.0,
21,160,28.0,2.3914942103579704,5.0,6.0
22,2,0.0,1.4317534770329337,10.0,
23,8,5.0,0.5249163384035423,10.0,
24,21,23.0,1.8214864339394041,10.0,
25,132,28.0,1.4427500400454607,10.0,
26,160,28.0,2.3514742103246857,10.0,
27,9,2.0,1.1313618908242868,15.0,
28,8,5.0,0.5648141744137819,15.0,
29,21,23.0,1.2859856619746857,15.0,
30,76,160.0,0.6147420446463088,16.9,
31,23,4.0,6.578499851082295,19.3,7.0
32,8,5.0,0.5802109515725469,20.0,
33,21,23.0,1.0133709522277075,20.0,
34,76,160.0,0.6515956160252772,21.9,
35,5,9.0,1.2883160112305265,25.0,
36,8,9.0,1.7048431430180253,25.0,
37,23,9.0,2.767830325568069,25.0,
38,21,9.0,2.724128537055956,25.0,
39,76,160.0,0.6114059119462564,26.9,
40,8,5.0,0.8919791448817415,30.0,
41,21,23.0,0.2198908501505487,30.0,
42,76,160.0,0.5741844744888885,31.9,
43,727,160.0,1.3792897569345481,31.9,
44,5,9.0,0.9055535692433977,35.0,
45,8,9.0,1.6662075619757812,35.0,
46,21,23.0,0.5856658807227958,35.0,
47,76,160.0,0.7869870711718189,36.9,
48,727,160.0,1.1305719622518868,36.9,
49,5,9.0,0.3421047769535465,40.0,
50,8,9.0,0.9424074768673207,40.0,
51,727,76.0,7.447819468869407,41.9,
52,5,9.0,0.22876166545945947,45.0,
53,8,9.0,0.9037551623608402,45.0,8.0
54,76,160.0,0.7146196785447044,46.9,
55,8,5.0,0.7140024887337992,50.0,
56,76,160.0,0.7862591756633981,51.9,
57,8,5.0,0.4502237460434599,55.0,
58,76,160.0,0.7333153145831277,56.9,
59,76,160.0,0.6724071713702046,61.9,
60,76,160.0,0.7742554011295427,76.9,
61,76,160.0,1.0259195244772157,81.9,
62,28,298.0,1.4334027170599302,87.8,
63,1836,76.0,1.4330817400207447,116.4,
64,76,1407.0,0.8331302383467808,119.1,
65,1836,1623.0,5.707967772362205,122.0,
66,76,1407.0,0.4764867904908053,124.1,
67,1836,1623.0,5.946973819955268,127.0,
68,207,30.0,2.9246577473621294,128.8,
69,76,1407.0,0.6432739396717084,129.1,
70,76,1407.0,0.755139729949244,134.1,
71,2765,2076.0,4.449914688947134,136.1,
72,2765,2076.0,4.673919474985513,141.1,
73,2849,2076.0,3.7810194946951556,141.1,
74,2765,2076.0,4.673262145007383,146.1,
75,2849,2076.0,3.9149566816834445,146.1,
76,2765,2076.0,4.499769769335741,151.1,
77,2849,2076.0,3.9917591726726904,151.1,
78,76,1407.0,0.22411843586709243,159.1,
