,id,leader_string,DTW string,time,string_number
0,26,10.0,1.3296592720819504,5.0,0.0
1,20,10.0,1.4490673996355683,5.0,0.0
2,17,10.0,2.1170946025924597,5.0,0.0
3,29,10.0,2.135291658869898,5.0,0.0
4,32,10.0,2.7970207751988996,5.0,0.0
5,101,10.0,2.9133018042844845,5.0,0.0
6,96,10.0,2.618346626929867,5.0,0.0
7,102,10.0,2.9919940205309676,5.0,0.0
8,115,10.0,3.030783655997641,5.0,0.0
9,119,10.0,2.8625242191326024,5.0,0.0
10,140,10.0,2.756827217641268,5.0,0.0
11,152,10.0,2.6616532217638214,5.0,0.0
12,20,26.0,1.023471958742303,10.0,
13,17,26.0,1.6395431901247142,10.0,1.0
14,29,26.0,1.6190470630847067,10.0,1.0
15,32,26.0,1.7988096158436546,10.0,1.0
16,101,26.0,1.7360362422866198,10.0,1.0
17,96,26.0,1.5724569106410717,10.0,1.0
18,102,26.0,1.8431762889396064,10.0,1.0
19,115,26.0,1.638195777695845,10.0,1.0
20,119,26.0,2.4772151516194305,10.0,1.0
21,140,26.0,3.103694626990321,10.0,1.0
22,20,26.0,0.5724920596112933,15.0,1.0
23,17,26.0,1.1663661827722107,15.0,
24,29,26.0,1.6387953616849962,15.0,
25,32,26.0,2.294963133433996,15.0,
26,101,26.0,2.16935866292857,15.0,2.0
27,96,26.0,1.9337392385710974,15.0,2.0
28,102,26.0,1.8768446106452885,15.0,2.0
29,115,26.0,2.215584344298208,15.0,2.0
30,119,26.0,1.89550291755672,15.0,2.0
31,140,26.0,1.1365915065419394,15.0,2.0
32,20,26.0,0.4843882203879592,20.0,2.0
33,17,26.0,1.1407126866091681,20.0,2.0
34,29,26.0,1.556503188717505,20.0,2.0
35,32,26.0,1.2209533480160029,20.0,2.0
36,101,26.0,1.0076336901415373,20.0,
37,96,26.0,0.9388496266884856,20.0,
38,102,26.0,0.6104578712029058,20.0,
39,115,26.0,1.6434712448796638,20.0,
40,119,26.0,0.5306870118328568,20.0,3.0
41,140,26.0,1.4020981450645533,20.0,3.0
42,20,26.0,0.46122280890940287,25.0,3.0
43,17,26.0,1.514089779515546,25.0,3.0
44,29,26.0,2.1416550992119574,25.0,3.0
45,32,26.0,1.3184404609636957,25.0,3.0
46,101,26.0,1.3004566795105752,25.0,3.0
47,96,26.0,0.9538497236608384,25.0,3.0
48,102,26.0,0.9938844359134019,25.0,3.0
49,115,26.0,1.7394342330104233,25.0,3.0
50,119,26.0,1.2982610578447964,25.0,
51,140,26.0,1.158040509586631,25.0,
52,20,26.0,1.3872179553116033,30.0,
53,17,26.0,1.675039442063157,30.0,
54,32,29.0,1.4407403688979719,30.0,4.0
55,101,29.0,1.3226235443132983,30.0,4.0
56,96,29.0,1.3928674704706931,30.0,4.0
57,102,29.0,2.2075167182111297,30.0,4.0
58,119,115.0,1.8679617071507002,30.0,4.0
59,140,115.0,2.484426425254413,30.0,4.0
60,20,26.0,1.30269733164294,35.0,4.0
61,101,32.0,0.6140164638331626,35.0,4.0
62,96,32.0,0.4725934697017151,35.0,4.0
63,102,32.0,1.2502313483618404,35.0,4.0
64,20,26.0,1.3159627746754419,40.0,
65,101,32.0,0.599002898737702,40.0,
66,96,32.0,0.6640355224600463,40.0,
67,102,32.0,1.424139826211591,40.0,
68,20,26.0,1.275869504738748,45.0,5.0
69,32,29.0,1.0387120374212615,45.0,5.0
70,101,29.0,0.9015249045794146,45.0,
71,96,29.0,1.7325262869384839,45.0,6.0
72,102,29.0,3.3081380738662634,45.0,6.0
73,140,119.0,2.1809866294494675,45.9,6.0
74,101,32.0,0.6621013228557023,50.0,6.0
75,96,32.0,1.3760198670329058,50.0,
76,102,32.0,2.1198488367415598,50.0,7.0
77,101,32.0,1.9184113784499557,55.0,7.0
78,96,32.0,1.446956900668383,55.0,
79,102,32.0,1.8220255266252514,55.0,
80,101,32.0,2.8620721520197443,60.0,
81,96,32.0,1.282331928340809,60.0,
82,102,32.0,1.8970837141850958,60.0,
83,987,920.0,0.646883175486837,87.6,8.0
84,987,920.0,0.7189418178982387,92.6,
85,987,920.0,1.0087774147703807,97.6,
86,987,920.0,0.9277099232254034,107.6,
87,479,447.0,0.6532237119567739,137.4,9.0
88,1445,1481.0,0.439934909387993,155.0,9.0
89,1445,1481.0,0.41726652307166784,160.0,9.0
90,1445,1481.0,0.2397826010478784,165.0,
91,1445,1481.0,0.24294961978646032,170.0,
92,8,6.0,0.5819552505890296,5.0,
93,16,6.0,0.6583601449187294,5.0,
94,12,6.0,0.7556916267892151,5.0,
95,21,6.0,1.3054010709007655,5.0,
96,24,6.0,1.8740092615939674,5.0,
97,33,6.0,2.268426424167955,5.0,
98,34,6.0,2.0506010978753526,5.0,10.0
99,117,112.0,1.2306747036822099,5.0,
100,21,14.0,0.3611898474256636,6.8,
101,16,8.0,1.229155667288456,10.0,
102,12,8.0,1.0722993841972128,10.0,11.0
103,24,21.0,1.3392719883812487,10.0,11.0
104,34,33.0,0.9135213399915272,10.0,11.0
105,21,14.0,1.440776779238027,11.8,
106,16,8.0,0.9560147583223212,15.0,
107,12,8.0,0.9119241601399697,15.0,
108,21,8.0,1.1969006454702786,15.0,
109,24,8.0,1.4836985647676957,15.0,
110,33,8.0,2.2757148498361173,15.0,
111,34,8.0,2.420409784870251,15.0,
112,155,131.0,1.0955552789523708,15.1,
113,21,14.0,2.377675569032785,16.8,
114,16,8.0,0.9701194801521418,20.0,12.0
115,12,8.0,1.0732845672336147,20.0,
116,21,8.0,1.3641166058267928,20.0,
117,24,8.0,1.8507533139899803,20.0,13.0
118,33,8.0,1.9134103663597397,20.0,13.0
119,34,8.0,2.10833906137846,20.0,13.0
120,21,14.0,1.527300960521067,21.8,13.0
121,131,105.0,1.5569690726573175,22.8,
122,16,8.0,0.652466057132602,25.0,14.0
123,12,8.0,1.0410398306019448,25.0,
124,21,8.0,1.5352464321217179,25.0,
125,24,8.0,1.5455549545725829,25.0,
126,33,8.0,2.005759719129714,25.0,
127,34,8.0,1.989233245138393,25.0,
128,21,14.0,1.5039164033196328,26.8,
129,131,105.0,1.2320198865385423,27.8,
130,16,8.0,0.8870763000880386,30.0,15.0
131,12,8.0,0.9845673117489453,30.0,15.0
132,21,8.0,2.146036753127612,30.0,15.0
133,24,8.0,2.4359618775252474,30.0,
134,33,8.0,4.34485435130829,30.0,
135,34,8.0,4.815830450338815,30.0,
136,21,14.0,1.4193242449761507,31.8,
