,id,leader_string,DTW string,time,string_number
0,74,61.0,0.6921101661287538,5.0,
1,86,61.0,0.3896612489522053,5.0,
2,98,61.0,1.4073977941107796,5.0,
3,93,61.0,2.0742657194447798,5.0,1.0
4,134,144.0,1.1472344847884757,5.0,1.0
5,130,144.0,0.6738014702166594,5.0,1.0
6,146,144.0,0.08728408350590723,5.0,1.0
7,143,144.0,0.6560061650750599,5.0,
8,98,85.0,0.6834148874386872,9.4,2.0
9,74,61.0,1.4202529858114523,10.0,2.0
10,86,61.0,1.3143466725100073,10.0,2.0
11,98,61.0,1.9250943730588328,10.0,2.0
12,93,61.0,2.49561978779925,10.0,
13,130,134.0,0.1038382619925218,10.0,
14,146,134.0,0.038330924900712764,10.0,
15,144,115.0,0.9246166570832197,10.4,3.0
16,144,17.0,0.7577840880180663,11.6,
17,98,85.0,0.6486761588261536,14.4,
18,74,61.0,0.7043417250672745,15.0,4.0
19,86,61.0,0.6571392148337729,15.0,4.0
20,98,61.0,1.9225690341497117,15.0,4.0
21,93,61.0,2.50901522665916,15.0,4.0
22,130,134.0,0.19876495294066254,15.0,
23,146,134.0,0.25760729880716093,15.0,5.0
24,144,115.0,1.2699824512954552,15.4,5.0
25,144,17.0,0.4578571944782227,16.6,
26,98,85.0,0.6631598474417304,19.4,
27,74,61.0,0.8960491857735443,20.0,6.0
28,86,61.0,0.8577890015161903,20.0,
29,98,61.0,1.88797674930701,20.0,7.0
30,93,61.0,2.8889869955512406,20.0,
31,130,134.0,0.47320739948349694,20.0,
32,146,134.0,0.48548269966508384,20.0,
33,144,115.0,1.4402638621650599,20.4,8.0
34,144,17.0,0.9247873750401664,21.6,
35,98,85.0,0.793733729234297,24.4,
36,86,74.0,0.46612400169335777,25.0,9.0
37,98,74.0,1.8569393994504952,25.0,9.0
38,93,74.0,3.0393259954941403,25.0,9.0
39,130,134.0,0.8371926688546832,25.0,9.0
40,146,134.0,1.0037303815518324,25.0,
41,144,115.0,1.5438578177335314,25.4,10.0
42,144,17.0,1.1033314976396082,26.6,10.0
43,98,85.0,0.8054705068421367,29.4,
44,86,74.0,0.4641503917908013,30.0,
45,98,74.0,2.0402153133456804,30.0,11.0
46,93,74.0,2.9262364302197783,30.0,
47,130,134.0,1.0464725052142598,30.0,12.0
48,146,134.0,1.363438320426397,30.0,
49,144,115.0,2.1440348023464852,30.4,
50,144,17.0,1.5472264615654512,31.6,
51,98,85.0,0.4570023784879269,34.4,
52,86,74.0,0.5431278499377415,35.0,
53,98,74.0,1.4780872879815428,35.0,13.0
54,93,74.0,1.8986173612146977,35.0,
55,130,134.0,0.8632720905934163,35.0,
56,146,134.0,1.0672455607283542,35.0,
57,144,115.0,1.0898103670151862,35.4,14.0
58,98,85.0,0.7084298696270964,39.4,14.0
59,86,74.0,0.767415199109707,40.0,14.0
60,98,74.0,1.4802967215288096,40.0,14.0
61,93,74.0,1.924052637352024,40.0,
62,130,134.0,1.1155452922698958,40.0,15.0
63,146,134.0,1.520468092237162,40.0,15.0
64,144,115.0,1.2020954880551433,40.4,
65,98,85.0,1.2330185735607893,44.4,
66,98,86.0,1.1900933025317324,45.0,16.0
67,93,86.0,1.6807985463336808,45.0,
68,130,134.0,1.1951252478729861,45.0,
69,146,134.0,1.3726836386126233,45.0,17.0
70,98,85.0,1.3880040437186383,49.4,
71,98,86.0,1.0618493739641892,50.0,
72,931,492.0,1.3509459053375945,51.9,
73,98,85.0,1.3835956396929643,54.4,
74,98,86.0,0.9894291314518904,55.0,
75,98,85.0,1.3247703514073137,59.4,
76,98,86.0,0.8740736075916588,60.0,18.0
77,931,492.0,1.20732838684953,61.9,
78,98,85.0,1.5234759042901356,64.4,
79,1598,1654.0,1.4033758618369958,103.4,
80,1598,1654.0,1.3969225405963606,108.4,
81,1598,1654.0,1.121652783677867,113.4,19.0
82,2688,1845.0,0.3929766224276431,173.1,19.0
83,69,229.0,0.2480187585183351,5.1,19.0
