,Unnamed: 0.1,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density,CF DTW,difference
65,18,1,30.1,26.0,"[11, 39]","[11, 39]","[0.77, 0.13]","[False, False]",11.csv,55.1,2,1,24.951594877344878,1.4518145418639083,0.0735796950469212,0.0005194105255324,[1.10778318 0.55681246],[0.         0.42681246]
66,19,0,131.1,25.0,"[946, 2064]","[946, 2064]","[0.67, 0.86]","[False, False]",11.csv,156.1,2,0,27.67636655844156,0.2904717515316279,0.0104389869547158,0.0001170220969612,[1.33644078],[0]
67,20,4,70.2,25.0,"[24, 21]","[24, 21, 38, 35]","[0.5, 1.01]","[False, False]",11.csv,95.2,2,1,24.78923534393911,0.4957092855996394,0.0193033011757467,0.0001477699418706,[0.62110205 0.4335086 ],[0.        0.5764914]
68,21,5,75.2,25.0,"[24, 21]","[24, 21, 38, 35]","[0.46, 0.95]","[False, False]",11.csv,100.2,2,1,25.07693872192789,0.5103638536353517,0.0196716781558245,0.0001591452422772,[0.62881059 0.44200091],[0.         0.50799909]
69,22,6,80.2,25.0,"[24, 21]","[24, 21, 38, 35]","[0.49, 1.16]","[False, False]",11.csv,105.2,2,1,25.313281745559784,0.5337648243471538,0.0203469443614307,0.0001897003592084,[0.91939933 0.49007406],[0.         0.66992594]
70,23,7,85.2,25.0,"[24, 21]","[24, 21, 38, 35]","[0.33, 1.24]","[False, False]",11.csv,110.2,2,1,25.526844789678584,0.5711105178810706,0.0215528108103734,0.0001927628191608,[1.00538192 0.48949122],[0.         0.75050878]
71,24,8,90.2,25.0,"[24, 21]","[24, 21]","[0.64, 1.01]","[False, False]",11.csv,115.2,2,1,25.642920115740942,0.6185232401391205,0.0232055242833081,0.0002180514914906,[1.23107474 0.77592853],[0.         0.23407147]
72,25,9,100.2,25.0,"[24, 21]","[24, 21]","[0.82, 0.76]","[False, False]",11.csv,125.2,2,1,25.73306729168699,0.7537923059092597,0.0276092922197923,0.0002126736421182,[0.45703963 0.89535294],[0.         0.13535294]
73,26,3,197.6,2064.0,"[2851, 2867, 3018]","[2851, 2867, 3018]","[1.29, 0.5, 0.23]","[False, False, False]",11.csv,222.6,3,0,26.95456031746032,0.7749327848954761,0.0295119056167871,0.0003419687788735,[1.21086405 1.07965656],[0]
74,27,0,5.2,14.0,"[12, 28, 25, 24, 21]","[12, 28, 25, 24, 21]","[0.51, 0.74, 0.89, 1.15, 1.49]","[False, False, False, False, False]",11.csv,30.2,5,1,15.0845,1.4073316396654951,0.0965322232420594,0.0003127393841535,[0.38320808 0.28254582 0.87367334 0.50105096 0.51508562],[0.         0.45745418 0.01632666 0.64894904 0.97491438]
75,28,1,35.2,14.0,"[12, 28]","[12, 28, 25, 24, 21, 38, 35]","[0.38, 1.25]","[False, False]",11.csv,60.2,2,1,19.512034941763726,0.7946988360900639,0.0365636255349727,0.0002236489756655,[0.53446404 0.39304244],[0.         0.85695756]
76,29,0,10.2,12.0,"[28, 25, 24, 21]","[28, 25, 24, 21]","[0.36, 0.43, 0.83, 0.76]","[False, False, False, False]",11.csv,35.2,4,1,14.004511008522726,1.3122270561946354,0.0852812250427245,0.0003606276431103,[0.42042649 0.36224764 0.8984167  0.40784333],[0.         0.06775236 0.0684167  0.35215667]
77,30,1,15.2,12.0,"[28, 25, 24, 21]","[28, 25, 24, 21]","[0.89, 0.82, 1.03, 0.95]","[False, False, False, False]",11.csv,40.2,4,1,13.334823072139304,1.2775969868809138,0.0833139721833855,0.0004860161716686,[0.40989171 0.36292332 0.69298753 0.67471617],[0.         0.45707668 0.33701247 0.27528383]
78,31,18,150.2,12.0,"[28, 24]","[28, 24]","[1.18, 0.2]","[False, False]",11.csv,175.2,2,0,24.996011524629555,0.412816049297518,0.0150082282042144,0.000177556134603,[1.18401221],[0]
79,32,2,202.0,24.0,"[3029, 2851]","[3029, 2851]","[0.77, 0.71]","[False, False]",11.csv,227.0,2,0,27.315409836065573,0.8541796725891222,0.0310560104894966,0.0020842960060064,[0.77719195],[0]
80,33,1,10.2,10.0,"[19, 22]","[19, 22, 27]","[0.71, 1.36]","[True, True]",11.csv,35.2,2,0,13.35066903409091,1.40113589122383,0.0887417083656032,0.0004274305612857,[1.05606464 0.36016546],[0.         0.99983454]
81,34,2,15.2,10.0,"[19, 22]","[19, 22, 27]","[0.92, 1.23]","[True, True]",11.csv,40.2,2,0,13.318881218905473,1.384518119850051,0.0849332544287427,0.000562336462451,[1.11423416 0.64607215],[0.         0.58392785]
82,35,3,20.2,10.0,"[19, 22]","[19, 22]","[1.14, 0.72]","[True, True]",11.csv,45.2,2,0,14.131296563192905,1.302246823262552,0.0746183304655314,0.0005469750070776,[1.03949389 0.71512288],[0.         0.00487712]
83,36,4,25.2,10.0,"[19, 22]","[19, 22]","[0.39, 0.75]","[True, True]",11.csv,50.2,2,0,15.215239520958084,1.1131169467308273,0.0586103012225972,0.0003772964029411,[1.06572825 0.34521633],[0.         0.40478367]
84,37,6,35.2,10.0,"[19, 22]","[19, 22]","[0.88, 1.35]","[True, True]",11.csv,60.2,2,0,18.714566139767054,0.7949311684589238,0.0361446685635852,0.000242917922047,[0.42375885 0.66260829],[0.         0.68739171]
85,38,7,40.2,10.0,"[19, 22]","[19, 22, 27]","[0.46, 0.88]","[True, True]",11.csv,65.2,2,0,19.88715168970814,0.6610584266838138,0.0290920875000657,0.0001935923307274,[0.29209275 0.10874515],[0.         0.77125485]
86,39,8,45.2,10.0,"[19, 22]","[19, 22, 27, 30]","[0.22, 0.27]","[True, True]",11.csv,70.2,2,0,21.019906205420828,0.5605491803903502,0.0238394463886696,0.0001866370601939,[0.20644945 0.29132779],[0.         0.02132779]
87,40,9,50.2,10.0,"[19, 22]","[19, 22]","[0.33, 0.46]","[True, True]",11.csv,75.2,2,0,21.901541944074573,0.4871473372373292,0.01986029470867,0.0001555102408673,[0.52846462 0.43605742],[0.         0.02394258]
88,41,10,55.2,10.0,"[19, 22]","[19, 22]","[0.41, 0.76]","[True, True]",11.csv,80.2,2,0,22.40575561797753,0.4294002260393342,0.016958248654932,0.0001683966931682,[0.65052894 0.50968671],[0.         0.25031329]
