,variable,coefficient,p-value,significatif,duration
116,mean speed,-1.0759724491392817,0.2735735279475814,False,46
117,Density,0.16452719928023193,0.8991622236961928,False,46
118,LC Density,-1.3253754521980248,0.3571446502390667,False,46
119,const,2.111111336587679,0.011096643215098682,True,47
120,has ACC,1.8428579912817777,0.005037649537304192,True,47
121,lenght,-1.1353980201854201,0.1909079579571279,False,47
122,heavy in platoon,0.2127828225705244,0.6596327910778215,False,47
123,mean speed,-1.0759724491392817,0.2735735279475814,False,47
124,Density,0.16452719928023193,0.8991622236961928,False,47
125,LC Density,-1.3253754521980248,0.3571446502390667,False,47
126,const,2.111111336587679,0.011096643215098682,True,48
127,has ACC,1.8428579912817777,0.005037649537304192,True,48
128,lenght,-1.1353980201854201,0.1909079579571279,False,48
129,heavy in platoon,0.2127828225705244,0.6596327910778215,False,48
130,mean speed,-1.0759724491392817,0.2735735279475814,False,48
131,Density,0.16452719928023193,0.8991622236961928,False,48
132,LC Density,-1.3253754521980248,0.3571446502390667,False,48
133,const,2.081947915116689,0.01225679509685943,True,49
134,has ACC,1.8549477281954967,0.004775609362817816,True,49
135,lenght,-1.1095488478788815,0.20198499625112964,False,49
136,heavy in platoon,0.2243119432506709,0.6426870428510763,False,49
137,mean speed,-1.0618968089058367,0.2789894148283143,False,49
138,Density,0.18945506012995558,0.88392716372855,False,49
139,LC Density,-1.2960299679086278,0.3683227753420849,False,49
140,const,2.081947915116689,0.01225679509685943,True,50
141,has ACC,1.8549477281954967,0.004775609362817816,True,50
142,lenght,-1.1095488478788815,0.20198499625112964,False,50
143,heavy in platoon,0.2243119432506709,0.6426870428510763,False,50
144,mean speed,-1.0618968089058367,0.2789894148283143,False,50
145,Density,0.18945506012995558,0.88392716372855,False,50
146,LC Density,-1.2960299679086278,0.3683227753420849,False,50
147,const,2.03909475733802,0.017312783832407745,True,51
148,has ACC,1.3910311507890807,0.021300676599038865,True,51
149,lenght,-0.9777049401482218,0.2651941032465446,False,51
150,heavy in platoon,0.10415880355078722,0.8333853561954754,False,51
151,mean speed,-0.8695236934067412,0.40633154497111423,False,51
152,Density,-0.033071595186602326,0.9796417703420214,False,51
153,LC Density,-0.9457526218363534,0.5192519551476193,False,51
154,const,2.0983605162468306,0.013748247046263939,True,52
155,has ACC,1.509326044061255,0.012306986850037453,True,52
156,lenght,-0.9439486525953881,0.28176211570026866,False,52
157,heavy in platoon,0.19463527392000338,0.6939771891657702,False,52
158,mean speed,-1.1078982590394009,0.28523429576776427,False,52
159,Density,-0.09860950664182011,0.9391293746148712,False,52
160,LC Density,-0.9220412876080482,0.526135711584631,False,52
161,const,2.0983605162468306,0.013748247046263939,True,53
162,has ACC,1.509326044061255,0.012306986850037453,True,53
163,lenght,-0.9439486525953881,0.28176211570026866,False,53
164,heavy in platoon,0.19463527392000338,0.6939771891657702,False,53
165,mean speed,-1.1078982590394009,0.28523429576776427,False,53
166,Density,-0.09860950664182011,0.9391293746148712,False,53
167,LC Density,-0.9220412876080482,0.526135711584631,False,53
168,const,2.0642211127178305,0.015389421205359759,True,54
169,has ACC,1.5251052727150605,0.011494815414373662,True,54
170,lenght,-0.9163634380862943,0.29695778145425444,False,54
171,heavy in platoon,0.2082209204438643,0.6740881235640233,False,54
172,mean speed,-1.0928026298060107,0.29076701052315956,False,54
173,Density,-0.06406665985737793,0.960445135833722,False,54
174,LC Density,-0.8924817171138224,0.5400550101488928,False,54
175,const,2.0642211127178305,0.015389421205359759,True,55
176,has ACC,1.5251052727150605,0.011494815414373662,True,55
177,lenght,-0.9163634380862943,0.29695778145425444,False,55
178,heavy in platoon,0.2082209204438643,0.6740881235640233,False,55
179,mean speed,-1.0928026298060107,0.29076701052315956,False,55
180,Density,-0.06406665985737793,0.960445135833722,False,55
181,LC Density,-0.8924817171138224,0.5400550101488928,False,55
182,const,3.009129557592516,0.0007517502282720208,True,56
183,has ACC,2.7869398480327705,5.196592354394697e-05,True,56
184,lenght,-1.14230569445751,0.1892463595805136,False,56
185,heavy in platoon,1.164363832368731,0.03388342846392866,True,56
186,mean speed,-3.717178944589853,0.0010630958211886414,True,56
187,Density,-1.4271956450666623,0.2847343151690809,False,56
188,LC Density,0.7651193872566294,0.6183802416241986,False,56
189,const,2.9700617451956095,0.0008775789359744986,True,57
190,has ACC,2.73412531102696,7.444121045042995e-05,True,57
191,lenght,-1.1479129310124954,0.1871246300338102,False,57
192,heavy in platoon,1.1213861876865616,0.04117282982334636,True,57
193,mean speed,-3.602874459361538,0.0015417017473935122,True,57
194,Density,-1.3850834696673928,0.2988587745824334,False,57
195,LC Density,0.7674916869664219,0.6183402563051759,False,57
196,const,2.9700617451956095,0.0008775789359744986,True,58
197,has ACC,2.73412531102696,7.444121045042995e-05,True,58
198,lenght,-1.1479129310124954,0.1871246300338102,False,58
199,heavy in platoon,1.1213861876865616,0.04117282982334636,True,58
200,mean speed,-3.602874459361538,0.0015417017473935122,True,58
201,Density,-1.3850834696673928,0.2988587745824334,False,58
202,LC Density,0.7674916869664219,0.6183402563051759,False,58
203,const,2.914516374050978,0.0010994782779722005,True,59
204,has ACC,2.7618949461177547,6.508900857019101e-05,True,59
205,lenght,-1.1086361393740207,0.2034802844178123,False,59
206,heavy in platoon,1.1437247343103498,0.03774438378558371,True,59
207,mean speed,-3.5797629431148104,0.0016254329855461842,True,59
208,Density,-1.321300617341626,0.3225555549045316,False,59
209,LC Density,0.8123435110101904,0.5990025846209047,False,59
210,const,2.914516374050978,0.0010994782779722005,True,60
211,has ACC,2.7618949461177547,6.508900857019101e-05,True,60
212,lenght,-1.1086361393740207,0.2034802844178123,False,60
213,heavy in platoon,1.1437247343103498,0.03774438378558371,True,60
214,mean speed,-3.5797629431148104,0.0016254329855461842,True,60
215,Density,-1.321300617341626,0.3225555549045316,False,60
216,LC Density,0.8123435110101904,0.5990025846209047,False,60
