,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density
45,4,295.4,53.0,"[65, 62]","[65, 62]","[0.47, 0.53]","[True, True]",8.csv,320.4,2,0,13.386534419221707,0.3959696130004959,0.033808083328441645,0.00014483488627371375
46,0,366.1,5082.0,"[3147, 3307]","[3147, 3307]","[1.2, 0.75]","[False, False]",8.csv,391.1,2,1,12.883439176954589,0.578429141951029,0.03597032606671982,0.00021387660915530638
47,0,15.0,93.0,"[95, 98, 81, 73, 78, 70]","[95, 98, 81, 73, 78, 70]","[0.45, 0.52, 0.62, 0.72, 1.02, 1.25]","[False, False, False, False, False, False]",8.csv,40.0,6,0,14.374104845446931,1.032405754593334,0.07082232611723077,0.00021377098133785322
48,1,20.0,93.0,"[95, 98, 81, 73, 70]","[95, 98, 81, 73, 78, 70]","[0.46, 0.62, 0.59, 1.24, 1.28]","[False, False, False, False, False]",8.csv,45.0,5,0,12.731546770601312,0.9535369489333474,0.07228040678755698,0.0001818558013071932
49,2,25.0,93.0,"[95, 98, 81, 73]","[95, 98, 81, 73, 78, 70]","[0.49, 0.72, 0.62, 1.21]","[False, False, False, False]",8.csv,50.0,4,0,11.942360971943865,0.8990299651521079,0.07856241666353984,0.00019995524729839618
50,3,30.0,93.0,"[95, 98, 81, 73]","[95, 98, 81, 73, 78, 70]","[0.39, 0.62, 0.78, 1.14]","[False, False, False, False]",8.csv,55.0,4,0,11.77944376138431,0.8970226688470709,0.0811828697588895,0.00027772867763295667
51,4,35.0,93.0,"[95, 98, 81, 73, 78, 70]","[95, 98, 81, 73, 78, 70]","[0.28, 0.51, 0.8, 0.91, 1.13, 1.31]","[False, False, False, False, False, False]",8.csv,60.0,6,0,11.73265962314328,0.8566821663212634,0.07821026666919144,0.00024285131709110818
52,5,40.0,93.0,"[95, 98, 81, 73, 78, 70]","[95, 98, 81, 73, 78, 70]","[0.35, 0.46, 0.37, 0.08, 0.09, 1.37]","[False, False, False, False, False, False]",8.csv,65.0,6,0,10.608155095946858,0.9043432714684443,0.0860437913364604,0.00027352151809414504
53,6,45.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.2, 0.41, 0.37, 0.11, 0.43]","[False, False, False, False, False]",8.csv,70.0,5,0,8.199744635193147,0.9669963746363549,0.08947188655161456,0.00025875243245024706
54,7,50.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.22, 0.4, 0.39, 0.5, 0.5]","[False, False, False, False, False]",8.csv,75.0,5,0,7.236861949265719,0.9603366024963369,0.09212604615881342,0.00024166110424115578
55,8,55.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.39, 0.19, 0.04, 0.5, 0.49]","[False, False, False, False, False]",8.csv,80.0,5,0,6.798520525657111,0.911157376658991,0.09775262933448219,0.00018286901007292524
56,9,60.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.34, 0.14, 0.09, 0.51, 0.49]","[False, False, False, False, False]",8.csv,85.0,5,0,6.109659128386389,0.8942318837812632,0.10547086760070441,0.00013220490225086728
57,10,65.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.36, 0.13, 0.15, 0.54, 0.51]","[False, False, False, False, False]",8.csv,90.0,5,0,5.386498553948894,0.8832521639439863,0.11587504706957544,0.00015472699568644065
58,11,70.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.34, 0.36, 0.08, 0.53, 0.5]","[False, False, False, False, False]",8.csv,95.0,5,0,4.66804257112756,0.8778002212449558,0.13250671039163978,0.00011502718010316315
59,12,75.0,93.0,"[95, 98, 81, 73]","[95, 98, 81, 73]","[0.22, 0.33, 0.23, 0.57]","[False, False, False, False]",8.csv,100.0,4,0,3.884897772772854,0.8213691286817846,0.15316109757400945,9.926510747205638e-05
60,13,80.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.09, 0.06, 0.1, 0.22, 0.12]","[False, False, False, False, False]",8.csv,105.0,5,0,3.2752562440420308,0.7800063200795369,0.1654333261126903,7.64726695847503e-05
