,id,leader,time,DTW
0,0,3.0,11.0,0.3718348899957537
1,0,3.0,16.0,0.23060292145050093
2,0,3.0,21.0,0.18586252051556137
3,0,3.0,26.0,0.23985568275756658
4,0,3.0,31.0,0.18611602912219496
5,0,3.0,36.0,0.47433272496779383
6,0,3.0,41.0,0.1351060902781449
7,0,3.0,46.0,0.15314005880994772
8,0,3.0,51.0,0.326198417534717
9,0,3.0,56.0,0.4572198662714784
10,0,3.0,61.0,0.41276203677310785
11,0,3.0,66.0,0.4253476196932379
12,0,3.0,71.0,0.5422147724375432
13,0,3.0,76.0,0.4909697830965903
14,0,3.0,81.0,0.36417597506193267
15,0,3.0,86.0,0.33342109883694937
16,0,3.0,91.0,0.5317214531138549
17,0,3.0,96.0,0.4724680768908652
18,0,3.0,101.0,0.5014915742166598
19,0,3.0,106.0,0.46231995444643226
20,0,3.0,111.0,0.6346405554120769
21,0,3.0,116.0,0.8189731579030891
22,0,3.0,121.0,0.5477072836558275
23,0,3.0,126.0,0.6123074045933554
24,0,3.0,131.0,0.6323003084852983
25,0,3.0,136.0,0.600798115662442
26,0,3.0,141.0,0.5654948471986719
27,0,3.0,146.0,0.5890960214942657
28,0,3.0,151.0,0.5813043324897602
29,0,3.0,156.0,0.4332707438034284
30,0,3.0,161.0,0.46509607145333753
31,0,3.0,166.0,0.3458546352735883
32,0,3.0,171.0,0.38681570865054127
33,0,3.0,176.0,0.382147091115817
34,0,3.0,181.0,0.6859505843961563
35,0,3.0,186.0,0.9495557019981483
36,0,3.0,191.0,0.6836709701045522
37,0,3.0,196.0,0.6828895876072865
38,0,3.0,201.0,0.6280420634924821
39,0,3.0,206.0,0.6256267910545605
40,0,3.0,211.0,0.3160370861674807
41,0,3.0,216.0,0.46220340388695896
42,0,3.0,221.0,0.2319020844751073
43,0,3.0,226.0,0.259256985424428
44,0,3.0,231.0,0.1827941702943811
45,0,3.0,236.0,0.17725545573777549
46,0,3.0,241.0,0.15661822616590157
47,0,3.0,246.0,0.17813293520187892
48,0,3.0,251.0,0.16287400191182572
49,3,61.0,9.6,46.92036113980151
50,3,61.0,14.6,1.1119033805784688
51,3,61.0,19.6,1.2927597038069134
52,3,61.0,24.6,1.4667761249301212
53,3,61.0,29.6,1.3471857361921495
54,3,61.0,34.6,0.6535906767714299
55,3,61.0,39.6,0.5302591737921006
56,3,61.0,44.6,0.4926692392286787
57,3,61.0,49.6,0.26343679994221314
58,3,61.0,54.6,0.42345059183152467
59,3,61.0,59.6,0.3795222330343985
60,3,61.0,64.6,0.3617428441854422
61,3,61.0,69.6,0.4235821211748069
62,3,61.0,74.6,0.3430701639745385
63,3,61.0,79.6,0.2760485500592743
64,3,61.0,84.6,0.1798014372388679
65,3,61.0,89.6,0.223239517859474
66,3,61.0,94.6,0.1836558995681809
67,3,61.0,99.6,0.20504313777505315
68,3,61.0,104.6,0.2804677250056649
69,3,61.0,109.6,0.30487082166248447
70,3,61.0,114.6,0.5375946921210408
71,3,61.0,119.6,0.37094625920106633
72,3,61.0,124.6,0.41959653927554225
73,3,61.0,129.6,0.4935402804938725
74,3,61.0,134.6,0.523691337515913
75,3,61.0,139.6,0.43636358631230443
76,3,61.0,144.6,0.5852057759312664
77,3,61.0,149.6,0.4593722572824177
78,3,61.0,154.6,0.6619215522121122
79,3,61.0,159.6,0.4563999660571901
80,3,61.0,164.6,0.30273780327286104
81,3,61.0,169.6,0.2884978943562069
82,3,61.0,174.6,0.3287578598232101
83,3,61.0,179.6,0.5509906862094857
84,3,61.0,184.6,0.5065441709374785
85,3,61.0,189.6,0.6102466980968282
86,3,61.0,194.6,0.5486774041601103
87,3,61.0,199.6,0.5430376622553663
88,3,61.0,204.6,0.5237678203550026
89,3,61.0,209.6,0.40086730339000387
90,3,61.0,214.6,0.3472695161863346
91,3,61.0,219.6,0.327643657947628
92,3,61.0,224.6,0.3195214529142807
93,3,61.0,229.6,0.5121841540562098
94,3,61.0,234.6,0.25864611347773037
95,3,61.0,239.6,0.2599210724193999
96,3,61.0,244.6,0.29897010851513806
97,3,61.0,249.6,0.27480419281685015
98,61,64.0,5.0,5.765603137164862
99,61,64.0,10.0,147.52626787686623
100,61,64.0,15.0,0.4759465594315068
101,61,64.0,20.0,0.5168362475464744
102,61,64.0,25.0,0.5638890796011059
103,61,64.0,30.0,0.5635357070876508
104,61,64.0,35.0,0.5798516778186521
105,61,64.0,40.0,0.6452583276163699
106,61,64.0,45.0,0.6895207561173687
107,61,64.0,50.0,0.40661607774199093
108,61,64.0,55.0,0.303769891995503
109,61,64.0,60.0,0.32324091915721404
110,61,64.0,65.0,0.3091989443787623
111,61,64.0,70.0,0.7803941234343572
112,61,64.0,75.0,3.4488511252339853
113,61,64.0,80.0,5.77416706937912
114,61,64.0,85.0,7.039048215354421
115,61,64.0,90.0,8.669747758983988
116,61,57.0,93.5,0.41265398986039353
117,61,57.0,98.5,0.20841974184864742
118,61,57.0,103.5,0.19322171688603762
119,61,57.0,108.5,0.14928041684899043
120,61,57.0,113.5,0.19692661788030522
121,61,57.0,118.5,0.3539428228590854
122,61,57.0,123.5,0.27967338801622
123,61,57.0,128.5,0.33858774234479233
124,61,57.0,133.5,0.32087649732933526
125,61,57.0,138.5,0.3312914291640002
126,61,57.0,143.5,0.3377653102854627
127,61,57.0,148.5,0.4445816616759
128,61,57.0,153.5,0.4331132491499305
129,61,57.0,158.5,0.3708322025537955
130,61,57.0,163.5,0.252139065260867
131,61,57.0,168.5,0.5745305524682313
132,61,57.0,173.5,0.40802212909308844
133,61,57.0,178.5,0.39771386728871694
134,61,57.0,183.5,0.666786320900553
135,61,57.0,188.5,0.36631858103490395
136,61,57.0,193.5,0.6773768443015517
137,61,57.0,198.5,0.581388233792879
138,61,57.0,203.5,0.5895777516943177
139,61,57.0,208.5,0.6285723761144375
140,61,57.0,213.5,0.5896589903338938
141,61,57.0,218.5,0.9047172589125948
142,61,57.0,223.5,0.9323572497875152
143,61,57.0,228.5,0.8221538884599563
144,61,57.0,233.5,0.8124883057604345
145,61,57.0,238.5,0.8382972653827607
146,61,57.0,243.5,0.802216782110091
147,64,57.0,5.0,6.06017903173339
148,64,57.0,10.0,150.9291862696934
149,64,57.0,15.0,0.5534632803290788
150,64,57.0,20.0,0.3856404250384902
151,64,57.0,25.0,0.4806101778410648
152,64,57.0,30.0,0.5538174819981461
153,64,57.0,35.0,0.6110831873484952
154,64,57.0,40.0,0.7623670746464288
155,64,57.0,45.0,0.6508128498136717
156,64,57.0,50.0,0.5218000116005139
157,64,57.0,55.0,0.6219301111759711
158,64,57.0,60.0,0.6059783544032474
159,64,57.0,65.0,1.0474566196509356
160,64,57.0,70.0,1.3472017866018637
161,64,57.0,75.0,2.3698202046915413
162,64,57.0,80.0,3.742019614413404
163,64,57.0,85.0,5.706381650791244
164,64,57.0,90.0,7.692743221722199
165,64,364.0,93.5,1.008266122217479
